Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,YEAR,IS_BANKRUPT
10209,5.32,29.48,0.71,0.38,0.94,0.94,48.35,22.3,39.19,,0.82,4.54,5.54,5.32,81.94,6.5,0.8,0.0,0.0,0.0,2.91,27.11,0.68,0.76,1.04,1.04,84.55,20.73,74.63,,0.89,8.31,9.31,2.91,89.25,6.47,1.55,0.0,0.0,0.0,4.95,25.33,1.04,0.68,0.85,0.85,76.09,10.29,47.57,,0.8,4.11,5.11,4.95,80.45,12.19,0.62,17.18,0.0,0.0,16,0
10210,27.61,146.86,29.46,0.07,0.98,2.84,388.4,123.59,135.3,254.71,0.81,4.32,5.32,35.22,81.2,34.0,,44.63,8.11,12.12,3.41,14.87,,0.22,1.49,8.88,211.42,29.76,23.54,174.09,0.77,3.36,4.36,12.32,77.08,4.42,,34.49,3.87,41.88,2.14,9.59,,0.06,0.34,2.96,260.18,24.87,87.07,227.57,0.78,3.47,4.47,8.29,77.64,2.76,,19.99,3.25,39.22,16,0
10211,-4.24,-245.06,-2.68,0.24,0.68,1.0,230.16,98.52,221.63,70.4,0.98,56.74,57.74,6.73,98.27,-3.7,0.99,0.0,6.94,115.56,-3.69,197.15,-2.32,0.06,0.6,0.97,229.08,121.17,227.38,83.99,1.02,-54.46,-53.46,6.04,101.87,-2.96,-0.32,0.0,4.51,79.68,-3.62,64.59,-2.14,0.18,0.54,0.93,215.21,79.9,221.61,86.39,1.06,-18.85,-17.85,4.61,105.6,-2.81,-1.62,0.0,3.86,99.95,16,0
10212,-1.26,-1.26,,,,,414.47,360.0,,,,,1.0,-1.26,0.0,,,0.0,0.0,0.0,-14.05,-16.35,,0.87,7.12,7.12,,,,,14.05,16.35,1.16,-14.05,14.05,-100.0,,0.0,,,28.06,34.11,,2.52,5.64,5.64,49.29,27.0,8.64,,17.73,21.54,1.22,28.06,17.73,158.33,,0.0,0.0,0.0,16,0
10213,,33.02,2.53,0.67,1.11,1.15,,52.51,118.72,4.84,,4.36,0.0,,,7.58,,,8.62,69.42,-2.25,-8.02,,0.59,1.05,1.36,158.32,49.44,109.5,34.55,0.73,2.59,3.57,50.85,72.5,1.58,6.37,0.0,16.95,61.49,16.33,51.12,8.09,1.0,1.67,1.67,180.22,71.31,105.99,0.06,0.68,2.14,3.13,23.94,68.42,26.63,52.0,7.51,2.86,16.21,16,0
10214,22.02,28.7,5.45,2.45,4.98,4.98,90.12,45.28,17.89,,0.23,0.3,1.3,23.62,23.3,94.51,,0.0,0.4,4.59,18.81,22.04,14.61,0.38,8.42,8.42,282.69,267.02,33.2,,0.15,0.17,1.17,20.08,14.67,128.21,,0.0,0.99,5.9,13.4,13.62,15.27,6.56,61.75,61.75,414.75,366.61,6.64,,0.02,0.02,1.02,14.96,1.62,827.51,,0.0,1.78,7.47,16,0
10215,6.15,44.5,5.91,-0.12,1.03,1.03,349.51,314.8,274.21,,0.86,6.24,7.24,6.15,86.18,12.16,1.13,0.0,0.0,0.0,5.8,44.38,3.81,0.06,1.07,1.07,239.04,190.5,188.85,,0.87,6.65,7.65,5.86,86.93,9.95,1.41,0.0,0.04,0.6,2.8,5.19,1.82,-0.24,1.63,1.63,236.92,150.16,80.31,,0.46,0.86,1.86,8.98,46.1,42.25,1.48,0.0,4.03,20.99,16,0
10216,-5.92,-7.08,-34.17,0.77,1.49,3.15,2100.11,214.98,296.24,497.57,0.16,0.2,1.2,10.61,16.39,-14.92,1.55,0.0,95.38,630.29,1.75,2.28,,0.37,1.01,2.86,1938.31,228.0,358.16,663.08,0.23,0.3,1.3,17.13,23.21,20.96,1.69,0.0,54.54,91.36,1.76,2.11,,0.86,1.68,3.08,1492.55,175.78,213.75,298.27,0.17,0.2,1.2,18.0,16.57,31.12,1.54,0.0,44.71,159.92,16,0
10217,4.33,4.45,12.31,39.19,39.19,39.19,1033.81,,25.43,,0.03,0.03,1.03,4.33,2.55,169.85,,0.06,0.0,0.0,-7.34,-7.85,,15.35,15.35,15.35,,,,,0.07,0.07,1.07,-7.34,6.51,-112.63,,0.0,,,-6.81,-7.31,,14.68,14.68,14.68,,,,,0.07,0.07,1.07,-6.81,6.81,-100.0,,0.0,,,16,0
10218,5.21,11.96,3.47,0.25,1.77,1.77,242.43,205.03,135.41,,0.56,1.3,2.3,88.87,56.47,9.22,,0.0,55.72,84.67,46.43,54.17,24.07,1.5,7.0,7.0,188.74,146.67,26.67,,0.14,0.17,1.17,146.43,14.29,325.0,,0.0,51.85,63.64,30.96,35.2,24.31,2.43,8.29,8.29,285.8,199.76,34.11,,0.12,0.14,1.14,96.34,12.07,256.53,,0.0,51.34,62.23,16,0
