Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,YEAR,IS_BANKRUPT
6900,7.85,88.97,10.3,0.56,1.36,1.36,477.92,176.1,217.78,0.05,0.79,9.0,11.34,24.57,91.18,14.54,0.34,0.0,21.96,52.14,1.62,49.31,1.9,0.55,1.52,1.52,426.69,132.22,160.0,0.05,0.83,25.34,30.41,22.23,96.71,8.37,0.13,0.0,24.16,81.64,8.21,74.06,10.77,0.14,1.26,1.26,478.57,392.89,351.6,0.06,0.89,8.02,9.02,41.31,88.91,15.82,1.91,0.0,43.4,108.42,13,0
6901,-4.48,-12.54,-14.53,0.04,0.35,0.38,1180.28,219.68,713.21,23.36,0.64,1.8,2.8,4.62,64.27,17.77,0.5,0.0,29.5,50.71,-8.92,-31.88,-21.78,0.02,0.23,0.24,888.65,115.17,566.57,10.91,0.72,2.57,3.57,2.19,72.01,9.27,0.42,0.0,27.13,56.63,-7.4,-31.54,-16.96,0.01,0.17,0.17,836.16,88.89,531.76,,0.77,3.26,4.26,4.37,76.53,4.71,0.39,0.0,26.98,58.41,13,0
6902,-52.85,-1298.28,-10.95,0.07,0.84,0.91,75.39,30.16,39.11,2.51,0.96,23.55,24.57,140.48,95.93,-37.58,0.82,0.0,40.04,124.09,-52.48,112.99,-7.92,0.4,0.41,0.52,54.91,0.24,48.45,5.45,1.46,-3.15,-2.15,91.43,146.45,-18.85,-0.16,0.0,21.71,106.83,-74.7,240.49,-21.56,0.08,0.23,0.37,105.36,19.72,128.4,18.32,1.31,-4.22,-3.22,63.31,131.06,-31.42,-0.56,0.0,39.84,122.73,13,0
6903,0.4,5.47,0.7,0.22,1.02,1.08,529.18,276.32,348.12,20.74,0.93,12.72,13.72,0.4,92.71,9.97,0.18,0.0,0.0,0.0,0.62,15.39,0.78,0.01,0.96,1.11,458.55,312.22,329.29,50.84,0.96,24.0,25.0,0.62,96.0,7.86,0.21,0.0,0.0,0.0,-7.47,171.86,-8.28,0.18,0.79,0.92,404.47,208.55,343.51,45.18,1.04,-24.0,-23.0,-7.47,104.35,-7.16,-0.21,0.0,0.0,0.0,13,0
6904,-357.56,965.05,-149.87,0.03,0.03,0.03,77.54,0.0,206.79,0.0,1.37,-3.7,-2.7,-357.56,137.05,-260.9,-0.39,0.0,0.0,0.0,-0.28,110.76,-3.8,0.01,0.01,0.01,4866.3,13.9,4099.8,,1.0,-390.73,-389.73,-0.28,100.26,5.11,0.15,0.0,0.0,0.0,2.51,111.38,14.23,0.59,1.18,1.18,2066.37,70.4,119.31,,0.98,43.31,44.31,2.51,97.74,15.93,1.01,0.0,0.0,0.0,13,0
6905,-9.29,-80.04,-4.62,0.14,0.73,0.73,161.01,92.64,153.23,,0.88,7.61,8.61,12.5,88.39,-8.99,0.35,2.66,10.83,102.67,23.5,68.0,8.99,0.24,1.04,1.07,139.29,71.64,86.14,2.79,0.65,1.89,2.89,48.0,65.45,44.91,1.28,2.76,9.38,38.08,-8.8,-38.52,-3.2,-0.26,0.66,0.67,132.82,90.32,98.86,1.42,0.77,3.38,4.38,15.63,77.15,-3.44,0.53,1.45,8.89,90.42,13,0
6906,0.84,5.43,0.43,0.59,0.84,0.84,186.45,27.23,112.07,0.0,0.84,5.43,6.43,0.84,84.46,27.85,0.86,0.0,0.0,0.0,-7.01,-85.87,-6.7,0.59,0.7,0.7,348.01,34.26,316.08,0.0,0.92,11.25,12.25,-7.01,91.83,26.96,0.26,0.0,0.0,0.0,-2.17,129.46,-43.82,0.01,0.1,0.1,7387.76,705.01,7408.42,,1.02,-60.8,-59.8,-2.17,101.67,-0.24,-0.02,0.0,0.0,0.0,13,0
6907,8.04,83.47,3.37,0.0,1.02,1.03,152.31,138.76,118.81,1.05,0.9,9.38,10.38,8.04,90.36,11.61,1.42,11.49,0.0,0.0,14.67,94.27,6.09,0.19,0.98,1.05,151.01,97.28,89.77,7.76,0.84,5.43,6.43,17.91,84.44,20.91,1.29,22.4,1.34,12.25,0.2,1.13,0.14,0.37,1.05,1.12,264.56,146.5,154.18,13.34,0.83,4.77,5.77,5.08,82.68,5.63,2.15,22.75,3.54,28.65,13,0
6908,-403.08,119.0,-45.49,0.0,0.0,0.04,41.08,0.0,161.15,7.66,4.39,-1.3,-0.3,-147.31,438.72,-91.88,-4.16,42.04,28.86,-190.87,-56.42,18.79,-30.34,0.01,0.01,0.1,195.72,0.0,716.22,75.63,4.0,-1.33,-0.33,9.68,400.27,-14.1,-5.12,30.26,35.55,528.49,-81.12,51.74,-6.35,0.27,0.39,0.39,28.59,8.42,72.41,,2.57,-1.64,-0.64,-81.12,256.78,-31.59,,0.0,0.0,0.0,13,0
6909,-0.83,-0.85,-2.8,59.33,59.33,59.33,951.45,,20.4,,0.02,0.02,1.02,-0.83,1.69,-49.41,,0.0,0.0,0.0,14.98,35.09,3.1,1.1,1.21,1.74,75.26,4.74,42.66,23.11,0.57,1.34,2.34,14.98,57.32,26.13,,0.0,0.0,0.0,7.56,42.75,2.86,0.35,1.11,1.21,137.8,84.91,111.86,12.39,0.82,4.65,5.65,7.56,82.31,9.19,,0.0,0.0,0.0,13,0
6910,-14.17,127.04,,0.02,0.04,0.04,,,,,1.11,-9.97,-8.97,-14.17,111.15,-12.74,-0.12,0.0,,0.0,-9.0,129.31,,0.14,0.14,0.14,,,,,1.07,-15.37,-14.37,-9.0,106.96,-8.41,-0.08,0.0,,0.0,-0.97,12.11,,0.13,0.13,0.13,,,,,1.08,-13.51,-12.51,-0.97,107.99,-0.9,-0.09,0.0,,0.0,13,0
6911,13.85,71.54,4.44,0.61,1.07,1.07,116.78,38.38,84.96,0.0,0.76,3.93,5.16,62.98,80.64,42.47,0.98,0.0,15.76,60.1,-1.01,-12.77,-0.53,0.4,1.25,1.25,191.87,117.13,138.5,,0.85,10.74,12.69,51.62,92.12,29.28,2.41,0.0,27.74,65.87,4.21,34.34,1.21,0.76,1.23,1.23,104.75,38.39,80.72,,0.8,6.54,8.16,36.88,87.74,12.68,9.62,0.0,9.38,66.0,13,0
6912,-7.94,63.32,-2494.14,0.01,0.04,0.06,114290.96,3068.43,20590.25,1319.13,1.12,-8.95,-7.97,-7.88,112.55,-5.61,0.29,54.01,20.02,-1.15,4.24,-49.89,4.09,0.14,6.7,6.7,351.15,332.75,50.75,,1.08,-12.76,-11.76,4.24,108.5,4.14,41.48,50.14,0.0,0.0,0.23,-1.23,62.3,0.25,8.62,8.62,100273.03,93931.92,11222.39,,1.18,-6.4,-5.41,0.23,118.5,0.44,41.23,55.06,0.0,0.0,13,0
6913,-34.8,31845.71,-8.04,-0.01,0.95,0.95,84.07,78.42,81.71,0.0,1.0,-916.09,-915.09,15.23,100.11,-31.34,0.29,0.02,11.56,195.69,-0.1,48.91,-0.03,0.12,0.97,0.99,109.72,90.37,94.92,2.43,1.0,-475.22,-474.22,42.17,100.21,3.27,0.74,10.16,12.74,83.01,1.22,129.49,0.28,0.37,1.02,1.02,83.95,51.49,47.61,,0.99,105.26,106.26,52.26,99.06,3.19,3.17,38.81,11.74,82.18,13,0
6914,11.18,26.81,10.23,0.0,1.4,1.4,333.04,106.54,65.67,,0.58,1.4,2.4,11.18,58.3,28.46,1.14,3.25,0.0,0.0,7.69,24.48,4.69,0.0,1.11,1.11,222.16,131.44,96.45,,0.69,2.18,3.18,7.69,68.58,15.5,1.15,10.23,0.0,0.0,6.95,23.93,5.14,0.0,1.0,1.0,269.99,176.65,150.78,,0.71,2.44,3.44,6.95,70.96,12.91,1.0,12.87,0.0,0.0,13,0
6915,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,-33.59,-2377.51,-75.34,584.81,697.21,697.21,816.39,72.07,0.64,,0.99,69.77,70.77,-33.59,98.59,-34.08,2.24,0.0,0.0,0.0,-8.6,-2569.22,,,,,,,,,1.0,297.61,298.61,-8.6,99.67,-8.63,0.99,0.0,,,13,0
6916,6.92,9.1,4.84,1.39,5.04,5.22,254.78,128.18,35.13,6.23,0.24,0.32,1.32,72.37,24.03,51.1,2.88,0.0,45.81,79.94,-1.09,-1.41,-0.88,3.6,5.0,5.19,293.99,58.05,41.59,7.98,0.22,0.29,1.29,70.54,22.33,17.85,3.11,0.0,57.86,94.57,-20.58,-32.19,-15.41,0.09,2.14,2.36,273.32,148.97,72.41,15.89,0.36,0.56,1.56,60.71,36.05,-32.67,1.83,0.0,60.88,109.3,13,0
6917,12.77,31.24,6.2,0.16,1.29,1.42,176.57,80.11,80.31,11.51,0.59,1.44,2.45,42.35,59.11,30.34,1.72,6.52,14.35,55.16,12.13,28.7,5.55,0.05,1.44,1.54,166.41,86.95,69.43,7.47,0.57,1.36,2.37,50.6,57.74,31.52,1.76,4.11,17.59,63.39,8.58,28.5,4.44,0.04,1.05,1.16,188.72,112.4,107.58,12.7,0.7,2.31,3.32,41.81,69.9,17.89,1.4,8.3,17.18,65.53,13,0
6918,1.95,8.92,1.87,0.91,1.13,1.21,349.23,59.31,270.02,22.87,0.78,3.58,4.58,1.95,78.04,8.96,4.33,0.0,0.0,,1.16,7.4,2.33,1.13,1.13,1.19,735.05,2.61,613.46,31.89,0.84,5.4,6.4,3.13,84.39,5.33,,0.0,3.99,25.74,1.83,10.74,2.76,0.98,1.15,1.2,551.15,80.24,451.22,23.17,0.83,4.88,5.88,4.38,83.01,2.2,,0.0,3.85,58.18,13,0
6919,-0.38,-0.73,,0.37,0.37,2.09,,,,,0.48,0.92,1.92,-0.38,47.92,-0.8,,0.0,,,1.7,1.7,0.84,444.35,444.35,444.35,180.27,,0.4,,0.0,0.0,1.0,5.0,0.23,755.0,,0.0,1.63,61.04,0.21,0.21,0.11,2963.0,2963.0,2963.0,185.08,0.0,0.06,0.0,0.0,0.0,1.0,0.21,0.03,633.33,,0.0,0.0,0.0,13,0
6920,1.24,6.45,1.56,1.0,1.02,1.09,458.24,5.66,366.26,26.9,0.81,4.21,5.21,1.24,80.81,1.53,,0.0,0.0,0.0,-2.92,-18.02,-22.06,0.92,1.11,1.19,2751.76,433.52,2281.01,203.35,0.84,5.18,6.18,-2.92,83.81,-3.48,,0.0,0.0,0.0,0.04,0.25,0.42,0.95,1.13,1.19,3770.32,568.1,3118.74,192.95,0.84,5.2,6.2,0.04,83.87,0.05,,0.0,0.0,0.0,13,0
6921,2.34,9.64,1.87,0.43,1.1,1.14,291.43,146.65,138.62,7.28,0.76,3.13,4.13,3.96,75.77,6.82,1.78,27.57,1.3,18.63,6.85,22.15,4.12,0.23,1.21,1.25,219.04,146.63,120.62,5.01,0.69,2.23,3.23,9.3,69.08,14.32,2.25,13.35,1.48,16.61,1.52,3.43,0.98,0.14,1.34,1.44,236.07,155.07,103.77,12.81,0.56,1.25,2.25,4.96,55.65,8.33,2.59,11.04,2.23,36.42,13,0
6922,1.43,5.92,2.04,0.05,1.13,1.68,518.85,232.23,209.08,121.68,0.74,3.07,4.14,15.42,75.85,4.79,1.69,1.3,19.95,131.29,-0.57,-2.2,-0.48,0.04,1.8,3.03,306.53,149.28,70.12,106.7,0.73,2.82,3.85,13.75,74.03,1.15,1.8,4.97,12.06,94.07,0.34,1.44,0.84,0.03,1.61,2.71,894.59,446.46,259.84,315.2,0.76,3.19,4.21,9.56,76.22,1.38,1.89,2.6,22.59,83.42,13,0
6923,-1725.18,-1345.96,32.17,0.01,0.28,0.23,-6.79,21.53,-47.4,-10.13,0.15,0.12,0.78,-2749.55,-28.17,-13981.97,-1.37,-3641.67,19.1,28.97,10.81,26.22,15.89,0.91,4.95,5.02,535.04,259.84,78.54,6.1,0.59,1.42,2.42,25.76,58.76,29.62,1.7,0.0,21.97,42.32,11.42,25.78,16.14,0.22,6.52,6.58,515.92,344.86,60.59,4.09,0.56,1.26,2.26,25.66,55.7,32.24,2.18,0.0,20.12,40.02,13,0
6924,47.29,86.14,21.92,1.04,1.2,1.71,168.72,11.09,69.44,36.15,0.45,0.82,1.82,70.01,45.1,118.16,2.05,0.0,10.53,26.0,5.45,7.78,2.62,2.57,3.49,3.55,175.35,24.64,26.54,1.57,0.3,0.43,1.43,37.11,30.03,55.26,1.88,13.76,15.25,61.46,5.13,18.26,1.32,0.73,1.43,1.53,94.04,9.05,12.9,1.22,0.72,2.56,3.56,60.27,71.93,25.38,1.1,28.8,14.21,66.71,13,0
6925,,,,,,,,,,,,,,,,0.0,,,,,-2.26,-3.61,-200.34,1.47,1.63,2.24,32312.43,1785.19,11027.95,6733.41,0.37,0.6,1.6,-2.26,37.47,3.14,2.88,0.0,0.0,0.0,0.18,0.21,6.72,0.25,0.71,6.14,13408.31,677.21,1449.83,7979.53,0.12,0.14,1.14,0.18,12.49,50.29,2.73,0.0,0.0,0.0,13,0
6926,0.32,2.13,0.08,0.45,0.9,1.04,91.05,33.18,71.4,10.64,0.85,5.57,6.57,76.26,84.79,18.18,1.08,3.44,18.99,94.28,0.61,7.08,0.24,0.21,0.67,1.06,142.85,58.21,127.62,50.41,0.91,10.61,11.61,48.16,91.39,3.88,1.85,0.0,18.66,89.11,16.31,64.65,3.54,0.92,1.0,1.01,79.12,4.94,57.96,0.7,0.75,2.96,3.96,51.02,74.78,30.44,1.02,0.0,7.52,52.98,13,0
6927,10.67,17.73,2.99,0.67,2.48,2.55,102.2,64.97,35.85,2.28,0.39,0.65,1.66,40.59,39.83,39.79,7.6,0.0,8.4,63.06,0.77,2.32,0.38,0.15,1.5,1.54,179.87,133.69,99.56,4.13,0.68,2.03,3.0,25.03,66.69,8.42,3.48,0.0,11.99,76.54,-0.59,-2.04,-0.29,0.25,1.28,1.41,180.38,117.86,114.4,15.41,0.7,2.43,3.45,23.02,70.99,5.46,4.07,0.0,11.67,67.94,13,0
6928,-5.85,-16.43,-2.12,0.22,0.9,1.22,131.91,26.38,43.22,14.04,0.64,1.81,2.81,57.37,64.36,31.8,0.8,0.0,22.91,65.56,2.15,5.34,0.88,0.08,1.1,1.75,148.84,53.89,52.81,34.95,0.6,1.48,2.48,66.04,59.67,34.4,1.17,0.0,26.12,70.45,-11.95,-33.46,-6.0,0.08,0.61,1.85,183.43,28.74,54.45,68.49,0.64,1.8,2.8,52.99,64.29,-18.58,0.82,0.0,32.63,117.54,13,0
6929,-1.24,-37.12,,0.03,0.03,0.03,,,,,0.97,29.01,30.01,-1.24,96.67,-1.28,0.03,0.0,,0.0,23.63,93.77,3438.29,0.36,0.42,0.42,52956.79,2178.69,39180.32,,0.75,2.97,3.97,23.63,74.8,31.97,0.37,0.0,0.0,0.0,0.27,1.23,10.5,0.08,0.39,0.39,14138.11,3280.32,10797.84,,0.78,3.54,4.54,0.27,77.95,1.88,0.32,0.0,0.0,0.0,13,0
6930,5.74,13.32,5.06,0.0,1.14,1.29,320.82,182.26,122.67,24.6,0.57,1.32,2.32,21.2,56.9,18.71,1.42,13.1,13.63,52.97,4.32,9.36,12.34,0.3,1.16,1.37,1039.8,441.59,508.54,106.16,0.54,1.17,2.17,8.07,53.83,10.77,1.6,0.57,10.7,37.86,0.92,1.21,0.62,0.01,2.1,2.22,247.8,93.8,19.15,5.66,0.24,0.32,1.32,36.12,24.42,54.14,1.42,12.76,23.96,66.58,13,0
6931,-128.85,29.05,-17.75,0.01,0.15,0.15,50.14,38.03,235.54,,5.44,-1.23,-0.23,-58.31,543.55,-20.89,-25.27,67.58,9.72,-302.38,-71.91,21.15,-8.51,0.11,0.22,0.22,43.05,18.91,185.86,,4.4,-1.29,-0.29,-57.35,440.04,-15.02,-70.81,3.63,1.72,-34.5,20.4,-8.58,2.39,0.11,0.25,0.29,42.69,19.79,141.86,6.26,3.38,-1.42,-0.42,40.42,337.71,6.58,-130.4,0.22,2.34,46.1,13,0
6932,5.3,18.79,4.25,0.0,0.55,0.6,291.58,108.06,123.12,9.73,0.72,2.54,3.54,20.19,71.78,10.98,0.5,25.77,11.93,54.74,-3.29,-13.58,-9.63,0.03,0.74,0.75,1066.21,440.89,520.7,7.96,0.76,3.13,4.13,9.52,75.8,-1.35,0.61,18.19,37.52,89.71,-7.71,-41.88,-21.87,0.03,0.56,0.6,1036.04,355.32,649.41,24.28,0.82,4.43,5.44,2.5,81.6,-6.64,0.42,11.99,28.96,208.64,13,0
6933,4.15,100.0,3.19,0.73,1.43,1.44,279.98,134.11,191.11,1.59,0.72,17.23,24.09,8.23,95.85,6.18,15.75,0.0,3.13,42.33,5.92,100.0,7.34,0.15,1.08,1.08,450.86,385.29,411.26,0.01,0.94,15.88,16.88,12.0,94.08,6.61,90.5,0.0,7.52,60.04,80.84,100.0,56.99,1.64,7.53,7.53,257.34,198.62,33.73,0.01,0.19,0.24,1.24,86.48,19.16,423.71,,0.0,3.98,5.04,13,0
6934,57.36,95.27,10.62,0.93,2.02,2.02,67.41,28.83,26.5,,0.4,0.66,1.66,70.98,39.8,150.96,3.07,0.0,2.52,15.36,19.09,96.65,6.06,0.71,1.17,1.17,115.54,39.85,86.28,0.0,0.8,4.06,5.06,27.8,80.25,27.42,2.09,4.4,2.77,23.97,11.03,35.81,4.24,0.32,0.9,0.93,140.14,52.02,90.49,3.54,0.69,2.25,3.25,24.57,69.2,22.06,0.88,1.1,5.2,41.16,13,0
6935,7.16,13.69,5.23,0.43,0.57,0.57,265.88,16.96,121.46,0.0,0.48,0.91,1.91,39.71,47.72,68.78,0.73,0.0,23.78,47.23,-2.11,-3.07,-1.41,0.44,0.61,0.61,244.5,13.2,75.11,0.0,0.31,0.46,1.46,14.22,31.38,121.05,0.85,0.0,10.97,24.46,-5.27,-10.69,-2.4,0.2,0.68,0.68,166.35,39.24,82.88,,0.51,1.03,2.03,17.35,50.69,67.56,0.76,0.0,10.31,38.34,13,0
6936,-29.05,-132.22,-25.29,1.64,5.09,5.09,316.9,91.3,26.47,,0.78,3.55,4.55,-7.15,78.03,-9.98,0.5,0.0,19.07,92.66,30.09,59.41,13.27,1.5,1.73,1.73,160.5,5.84,26.35,,0.49,0.97,1.97,50.6,49.34,162.69,0.75,0.0,9.04,19.55,-42.21,-77.79,-17.14,1.83,1.93,1.93,148.23,2.44,23.81,,0.46,0.84,1.84,-3.16,45.74,-23.78,0.88,0.0,15.86,50.22,13,0
6937,1.78,3.24,0.41,1.75,1.93,2.24,83.96,6.4,35.93,11.54,0.45,0.82,1.82,95.89,45.01,27.28,32.86,0.11,21.71,84.15,16.2,25.03,5.86,0.58,6.08,6.08,131.71,117.73,15.32,0.0,0.35,0.54,1.54,87.75,35.26,50.26,,4.68,25.89,73.45,1.84,3.22,0.82,2.62,2.87,3.71,162.29,10.61,37.52,36.87,0.43,0.75,1.75,39.16,42.96,4.27,,3.32,16.6,87.87,13,0
6938,12.18,91.76,4.29,0.05,0.98,1.09,128.16,101.97,109.32,11.84,0.87,6.53,7.53,28.44,86.73,16.58,2.3,0.0,5.73,48.36,8.66,90.72,4.54,0.07,1.0,1.07,191.08,156.93,169.86,12.79,0.9,9.48,10.48,20.62,90.46,12.06,2.61,0.0,6.28,46.58,5.27,79.57,3.13,0.12,1.21,1.21,216.5,177.61,155.3,0.11,0.93,14.09,15.09,18.01,93.38,9.99,0.92,3.68,7.56,40.32,13,0
6939,0.02,0.92,0.18,0.13,1.0,1.0,3141.08,2617.61,3034.26,0.35,0.98,42.58,43.58,0.69,97.71,0.19,5.35,0.0,5.74,73.87,-6.32,-100.91,-1354.77,0.79,0.93,0.93,78040.14,9937.53,72237.18,42.94,0.94,14.97,15.97,-4.33,93.74,-5.78,4.31,0.0,426.93,-61.53,-16.06,282.22,-18.47,0.02,1.08,1.08,419.88,386.78,365.37,0.38,1.06,-18.58,-17.58,-11.25,105.69,-14.25,-1.4,0.0,5.52,-77.18,13,0
6940,5.37,7.15,3.99,4.36,4.75,4.93,270.69,15.12,39.16,7.19,0.23,0.3,1.33,49.18,24.91,63.5,3.15,0.0,32.58,71.27,13.96,18.51,7.9,3.67,4.08,4.15,205.93,17.48,42.0,2.84,0.25,0.33,1.33,57.58,24.57,87.75,5.42,0.0,24.68,62.38,0.55,0.61,0.76,9.95,14.3,14.59,505.92,134.82,30.95,8.97,0.1,0.11,1.11,31.07,9.53,92.27,10.51,0.0,42.3,78.0,13,0
6941,1.05,8.61,0.44,0.45,0.57,0.57,92.71,16.1,130.46,,0.88,7.18,8.18,6.08,87.77,13.4,0.24,0.0,2.08,29.04,0.81,6.7,0.48,0.17,0.59,0.73,215.06,77.3,184.69,26.59,0.88,7.23,8.23,12.65,87.85,12.19,0.33,0.0,7.0,53.24,0.89,6.27,0.51,0.13,0.69,0.85,210.3,97.03,173.38,28.2,0.86,6.06,7.06,26.73,85.84,13.58,0.49,0.0,14.89,66.0,13,0
6942,4.43,4.72,1.01,2.28,2.97,2.97,82.98,3.16,4.55,,0.06,0.07,1.07,79.73,6.17,509.31,1.13,0.0,17.16,75.98,2.11,3.4,1.32,1.1,1.1,1.1,228.03,0.12,53.94,0.0,0.38,0.61,1.61,34.74,37.95,13.98,1.06,9.5,20.44,73.89,0.6,0.79,1.1,1.79,2.18,2.18,668.06,28.37,71.84,,0.25,0.33,1.33,17.73,24.63,2.43,1.17,0.0,31.36,81.21,13,0
6943,-1.36,40.08,-5.03,0.16,0.16,0.94,1347.83,,1354.88,1077.44,1.03,-30.52,-29.52,6.9,103.39,3.14,-0.48,0.0,30.56,60.2,1.01,-59.59,1.32,0.21,0.29,0.98,474.91,35.32,477.49,337.79,1.02,-60.03,-59.03,8.95,101.69,3.67,,0.0,10.37,58.73,0.18,-9.57,0.41,0.02,0.11,0.98,844.75,74.74,848.22,751.15,1.02,-55.22,-54.22,11.87,101.84,0.17,,0.0,27.07,95.49,13,0
6944,2.86,10.22,1.07,0.28,0.81,0.81,136.07,51.45,96.79,0.0,0.72,2.57,3.57,8.69,71.99,18.64,3.04,0.0,2.18,24.18,1.91,8.24,0.71,2.21,2.93,2.93,135.74,28.47,39.57,0.0,0.77,3.31,4.31,16.27,76.79,16.43,5.14,0.0,5.36,47.5,0.28,2.7,0.17,0.7,2.05,2.05,220.52,83.59,62.24,,0.9,8.71,9.71,7.36,89.71,2.79,0.74,0.0,4.28,66.03,13,0
6945,-5.82,-6.37,-2.02,4.35,15.17,15.17,126.68,89.36,8.26,,0.09,0.09,1.09,-5.82,8.68,-67.07,,0.0,0.0,0.0,5.56,6.45,8.83,0.02,7.24,7.24,578.14,570.11,78.95,,0.14,0.16,1.16,5.56,13.81,40.27,,0.0,0.0,0.0,-30.9,-33.31,-6.59,0.57,13.68,13.68,77.84,72.88,5.56,0.0,0.07,0.08,1.08,-30.9,7.24,-427.01,,0.0,0.0,0.0,13,0
6946,-4.35,-5.92,,2.81,5.63,5.63,,,,,0.26,0.36,1.36,-4.35,26.43,-16.47,1.3,0.0,,0.0,1.66,47.98,16.22,0.28,1.33,1.33,3561.5,370.32,179.65,,0.97,27.94,28.94,1.66,96.54,4.81,1.04,76.06,0.0,0.0,5.14,44.79,31.21,8.52,8.61,8.61,2214.18,3.74,38.87,0.0,0.89,7.71,8.71,5.14,88.51,11.03,1.16,68.89,0.0,0.0,13,0
6947,6.48,6.68,1.0,29.32,29.32,29.32,56.03,,1.71,,0.03,0.03,1.03,6.48,3.09,364.04,10.21,0.0,0.0,0.0,0.98,1.01,2.42,40.99,40.99,40.99,894.08,,21.57,,0.02,0.03,1.03,0.98,2.44,137.27,,0.0,0.0,0.0,1.23,1.26,4.56,41.5,41.5,41.5,1354.96,,32.2,,0.02,0.02,1.02,1.23,2.41,50.93,,0.0,0.0,0.0,13,0
6948,11.03,22.6,6.8,0.94,1.91,1.95,224.24,51.18,60.4,2.34,0.51,1.05,2.05,53.73,51.19,33.19,1.23,0.0,26.31,64.55,9.15,18.8,5.75,0.69,1.95,1.99,228.59,71.63,62.96,2.14,0.51,1.05,2.05,51.31,51.33,29.54,1.25,0.0,26.48,66.81,9.05,18.13,5.73,0.84,2.06,2.1,231.07,64.79,61.64,2.69,0.5,1.0,2.0,51.82,50.07,28.44,1.33,0.0,27.08,69.9,13,0
6949,3.23,22.02,2.39,0.03,0.67,0.9,269.56,117.68,147.85,43.41,0.84,5.71,6.81,18.32,85.32,11.73,0.75,15.68,11.18,48.41,0.91,5.83,0.58,0.11,0.84,0.89,233.42,110.28,124.81,8.17,0.84,5.4,6.4,20.59,84.37,5.06,0.76,13.78,12.62,68.74,2.42,11.97,1.03,0.09,0.98,1.06,154.59,74.59,78.61,6.26,0.79,3.89,4.94,21.69,79.77,8.37,1.02,12.65,8.16,60.21,13,0
6950,9.71,44.83,4.56,1.0,1.07,1.17,170.88,10.34,131.87,13.29,0.78,3.62,4.62,31.31,78.35,18.32,2.66,0.0,10.14,56.75,25.57,62.48,5.1,1.36,1.4,1.4,72.6,1.55,36.24,0.0,0.59,1.44,2.44,61.45,59.08,60.63,1.7,0.0,7.16,46.22,4.41,29.27,3.26,0.12,0.12,0.12,269.97,0.03,23.5,,0.85,5.64,6.64,11.0,84.94,8.53,0.82,75.72,4.88,35.23,13,0
6951,43.08,57.95,36.94,3.99,3.99,3.99,78.03,,77.32,,0.26,0.35,1.35,80.66,25.66,167.88,,0.0,32.22,40.1,-126.59,-218.34,-131.62,0.6,2.53,2.53,378.45,286.04,147.99,,0.42,0.72,1.72,20.82,42.02,-301.26,,0.0,153.26,649.97,-143.33,297.83,-261.53,0.07,0.68,0.68,666.0,586.21,973.0,,1.48,-3.08,-2.08,-79.33,148.13,-96.76,,0.0,116.79,-92.86,13,0
6952,7.96,37.44,4.6,0.05,0.83,1.18,210.6,88.25,107.95,40.23,0.77,3.6,4.7,29.0,78.74,13.73,0.88,7.26,12.18,59.98,7.38,32.61,6.18,0.0,1.07,1.09,304.49,228.46,210.25,5.38,0.77,3.42,4.42,24.33,77.36,11.77,1.16,3.66,14.18,57.06,4.36,9.98,3.54,0.03,1.23,1.28,296.28,170.03,134.14,7.74,0.56,1.29,2.29,34.57,56.36,12.81,1.2,2.67,24.53,73.37,13,0
6953,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,13,0
6954,-29.85,-137.21,-22.63,0.31,1.93,1.99,275.94,142.53,122.44,7.79,0.78,3.6,4.6,4.27,78.25,-30.09,7.73,0.0,25.87,324.48,-11.27,-75.96,-97.25,0.15,1.82,1.97,3139.86,1713.31,1437.4,214.91,0.85,5.74,6.74,-2.9,85.16,-11.22,7.86,0.0,72.26,297.88,8.44,33.8,3.22,0.12,1.93,2.13,139.01,70.84,58.06,11.67,0.73,2.94,4.01,59.48,75.03,15.03,13.32,0.0,19.49,70.14,13,0
