Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
3468,68.75,71.28,14.81,28.15,28.15,28.15,78.39,,2.75,,0.04,0.04,1.04,72.11,3.55,1935.12,,0.0,0.72,4.61,2.79,5.92,0.53,0.1,1.67,1.67,69.72,57.27,36.43,,52.82,111.97,2.12,10.15,52.82,10.45,3.99,0.0,1.41,46.03,-175.28,176.87,-59.24,0.13,0.44,0.44,123.03,73.04,133.1,,199.1,-200.91,-1.01,-124.28,199.1,-85.09,-7.5,89.71,17.24,-68.69,0,TEST,3.0
3469,-3.06,-5.65,-22.37,0.09,0.34,0.96,2660.7,160.39,433.11,416.96,0.34,0.62,1.85,9.7,45.81,13.4,0.81,9.25,93.28,885.68,-0.76,-1.38,-4.96,0.05,0.36,1.07,2363.69,144.72,382.33,339.11,0.33,0.6,1.8,10.9,33.23,20.57,0.86,8.76,54.95,286.26,-2.26,-4.9,-16.36,0.0,0.55,0.94,2632.16,454.27,410.65,320.43,0.45,0.98,2.16,10.04,45.12,9.97,0.83,22.37,61.41,347.95,0,TEST,3.0
3470,0.04,0.05,0.34,0.12,1.19,2.11,3241.55,609.16,385.72,531.45,0.22,0.29,1.34,6.47,25.16,42.25,1.24,5.76,57.23,-972.09,-1.81,-2.22,-12.19,0.36,1.03,3.02,2453.33,191.89,285.11,575.17,0.15,0.18,1.23,5.69,18.55,41.27,1.3,0.0,50.56,-197.28,-2.7,-3.26,-22.11,0.32,1.03,3.04,2983.58,255.55,359.53,723.25,0.13,0.16,1.21,2.23,13.48,32.61,1.34,0.0,29.58,-35.97,0,TEST,3.0
3471,10.65,51.1,10.3,0.44,1.81,1.81,351.94,262.62,192.29,,0.79,3.8,4.8,10.65,79.16,13.46,,0.0,0.0,0.0,0.85,5.71,0.7,0.05,1.36,1.43,300.22,272.85,208.34,14.21,0.85,5.73,6.73,10.61,85.14,1.0,,0.0,8.05,86.35,0.23,2.97,0.2,0.01,1.38,1.38,314.52,250.28,183.65,0.69,0.92,11.71,12.71,9.13,92.13,2.31,0.91,0.0,7.69,71.84,0,TEST,3.0
3472,22.71,41.4,64.8,0.02,0.85,0.91,516.44,383.38,463.69,28.06,0.45,0.82,1.82,22.71,45.14,51.4,0.93,0.0,0.0,0.0,-24.19,-64.55,-23.26,0.09,1.19,1.36,349.97,236.65,216.41,37.08,0.63,1.67,2.67,-24.19,62.53,-37.87,2.47,0.0,0.0,0.0,-31.86,489.7,-59.3,0.04,0.69,0.75,677.58,467.58,713.74,37.48,1.07,-16.37,-15.37,-31.86,106.51,-29.91,-0.32,0.0,0.0,0.0,0,TEST,3.0
3473,0.18,2.5,0.46,0.47,0.76,1.03,906.35,196.29,660.19,176.76,0.93,12.65,13.65,0.45,92.68,6.28,0.3,0.0,0.67,-6.49,9.45,58.89,11.64,0.45,1.04,1.04,448.42,175.48,296.35,,0.84,5.23,6.23,10.63,83.96,18.83,0.53,0.0,1.46,-5.32,9.63,47.01,10.55,0.54,0.92,0.92,398.68,73.78,191.94,,0.8,3.88,4.88,22.3,79.51,28.89,0.72,0.0,13.88,209.86,0,TEST,3.0
3474,0.74,1.42,3.41,1.79,2.05,2.09,1283.23,6.83,795.96,30.73,47.9,91.94,1.92,13.07,47.9,1.54,,0.0,56.9,86.83,0.9,2.61,2.64,1.52,1.52,1.52,1070.92,2.8,694.67,0.0,65.59,190.59,2.91,0.9,65.59,1.37,,0.0,0.0,0.0,-0.66,1.8,-1.32,0.72,0.73,0.73,729.09,6.75,902.15,,136.71,-372.4,-2.72,-0.66,136.71,-0.48,,11.6,0.0,0.0,0,TEST,3.0
3475,0.04,0.16,0.04,0.0,0.71,1.26,326.94,102.81,94.13,88.83,0.63,2.35,3.7,12.31,72.95,14.23,1.09,30.23,11.01,75.32,0.01,0.05,0.02,0.02,0.55,1.12,465.61,104.46,121.99,112.97,0.67,2.68,3.98,5.32,67.39,12.4,0.84,28.89,4.87,96.46,0.16,0.57,0.17,0.01,0.51,0.69,387.32,73.95,80.13,25.7,0.67,2.42,3.63,6.9,66.64,14.03,0.76,27.94,5.21,-720.03,0,TEST,3.0
3476,6.71,9.76,0.95,0.63,1.34,2.01,51.32,13.36,14.4,12.53,0.31,0.45,1.45,50.97,31.21,109.91,2.62,8.33,6.24,50.82,0.73,2.84,0.14,0.0,0.86,1.14,71.11,44.36,40.82,14.75,0.74,2.88,3.88,23.88,74.23,10.0,1.67,16.0,4.52,59.8,7.28,14.84,2.58,0.28,1.11,1.61,129.17,53.74,50.5,32.77,0.51,1.04,2.04,30.31,50.96,22.49,2.69,11.19,8.17,63.82,0,TEST,3.0
3477,10.57,71.57,139.75,0.0,0.21,0.21,4812.74,732.8,3576.89,,0.75,5.09,6.77,10.57,85.23,16.12,0.18,0.0,0.0,0.0,-31.51,165.14,,0.0,0.05,0.05,8420.24,478.17,9246.99,0.0,1.11,-5.82,-5.24,-31.51,111.05,-26.64,-0.2,0.0,0.0,0.0,3.19,-27.07,30.74,0.01,0.28,0.28,3504.63,990.69,3661.96,,1.06,-8.96,-8.48,3.19,105.66,4.38,-0.17,0.0,0.0,0.0,0,TEST,3.0
